GeneID	Genename	Genebiotype	Chr	Start	End	Strand	GTEX-15ER7-3126-SM-7KUGH	GTEX-YFC4-3126-SM-5PNV6	GTEX-15SHU-3126-SM-6M46H	GTEX-1HBPH-3126-SM-9WYUV	GTEX-RNOR-2326-SM-2TF4I	GTEX-13SLX-3126-SM-5S2Q5	GTEX-RU72-3026-SM-CYPRV	GTEX-14A5I-2926-SM-5Q5CQ	GTEX-11GSP-3226-SM-5986O	GTEX-12WSD-3126-SM-5HL7P	GTEX-13O3O-3126-SM-5KM3H	GTEX-14DAQ-3126-SM-62LDS	GTEX-1EWIQ-3126-SM-7MXTI	GTEX-P44G-2426-SM-2I5ER	GTEX-11ZUS-2926-SM-5FQSL	GTEX-1HT8W-3026-SM-CGQEO	GTEX-WZTO-2926-SM-3NM9I	GTEX-13NYB-3026-SM-5IJD7	GTEX-14JG1-3026-SM-5YYAA	GTEX-17MF6-2926-SM-7LTAW	GTEX-1EN7A-3026-SM-7PBYT	GTEX-1KD4Q-2926-SM-D3L9N	GTEX-15RJE-3026-SM-7KUM1	GTEX-13OW6-3026-SM-5J2MI	GTEX-13PVQ-3026-SM-5SI93	GTEX-14BIL-3026-SM-7EWD4	GTEX-17HII-3026-SM-7EWFM	GTEX-18465-3026-SM-7LG6Y	GTEX-1B8SG-1726-SM-73KXK	GTEX-1C6VQ-3026-SM-7IGPU	GTEX-1GZ4I-3026-SM-9KNTX	GTEX-1JMLX-2926-SM-CL54C	GTEX-T6MN-2626-SM-32PMQ	GTEX-1HCVE-3026-SM-CL54G	GTEX-11DXY-3226-SM-5GIDE	GTEX-12ZZZ-3026-SM-5BC67	GTEX-1399T-3026-SM-5KLZC	GTEX-18A6Q-2926-SM-718AR	GTEX-1AX9I-3026-SM-73KUH	GTEX-1B8L1-3026-SM-7EPHK	GTEX-1EKGG-2926-SM-7EPIH	GTEX-1GF9V-2926-SM-7PBXO	GTEX-1GN2E-3026-SM-9WG6I	GTEX-1GN73-3126-SM-9KNTY	GTEX-1IKJJ-2926-SM-A9G2N	GTEX-1IKK5-2926-SM-ARU7Q	GTEX-1JJEA-2826-SM-ARU8R	GTEX-1NV8Z-3126-SM-E76R3	GTEX-1RQEC-2926-SM-EVR5A	GTEX-1I1HK-2826-SM-CKZPL	GTEX-1JJ6O-3126-SM-CNNP8
ENSG00000002549.12	LAP3	protein_coding	chr4	17577192	17607972	+	22	23	18	16	20	16	18	21	22	22	16	25	16	40	15	16	24	22	20	17	20	17	OO-48	24	22	20	18	18	10	30	29	21	19	21	24	22	22	21	16	19	23	17	17	22	12	20	18	21	17	19	29
ENSG00000003402.19	CFLAR	protein_coding	chr2	201116104	201176687	+	5	5	4	5	4	3	4	4	5	5	3	5	3	4	3	4	6	5	3	7	4	4	OO-12	5	6	5	4	3	3	6	6	5	4	7	4	5	5	4	4	4	6	5	4	5	4	5	5	4	3	5	5
ENSG00000004776.12	HSPB6	protein_coding	chr19	35754872	35758079	-	17	21	21	21	17	16	28	22	29	37	28	33	30	14	18	20	46	16	30	11	25	26	OO-84	23	21	38	24	27	13	39	27	30	14	23	31	28	27	27	18	30	27	22	24	19	22	23	28	24	12	12	36
ENSG00000006327.13	TNFRSF12A	protein_coding	chr16	3018485	3022383	+	1	2	1	4	0	3	3	0	7	3	2	2	1	4	1	1	3	1	0	1	1	1	OO-9	1	OO-48	2	1	1	2	2	1	1	1	2	2	1	1	1	1	1	2	2	2	5	1	2	2	1	1	1	4
ENSG00000006747.14	SCIN	protein_coding	chr7	12570849	12660179	+	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	OO-8	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1
ENSG00000007866.19	TEAD3	protein_coding	chr6	35473597	35497076	-	3	3	3	3	1	2	2	2	4	4	3	3	2	6	1	1	8	2	2	3	3	2	OO-26	3	5	3	3	2	1	4	3	3	1	3	3	3	4	3	2	2	5	3	3	4	2	3	4	2	2	2	7
ENSG00000007908.15	SELE	protein_coding	chr1	169722641	169764705	-	0	3	0	0	0	0	0	0	4	0	0	0	0	OO-24	0	0	0	0	0	0	0	0	1	0	OO-6	0	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1
ENSG00000010379.15	SLC6A13	protein_coding	chr12	220621	262873	-	5	6	12	5	6	5	7	4	12	10	6	OO-35	6	3	4	4	8	4	4	6	7	5	5	7	6	6	6	7	5	6	8	5	5	4	13	9	7	9	7	7	OO-36	5	8	4	6	8	8	7	6	6	4
ENSG00000011028.13	MRC2	protein_coding	chr17	62627591	62693597	+	3	5	12	3	3	4	3	2	4	5	3	OO-16	4	2	4	3	10	4	3	3	3	3	8	4	4	3	4	4	2	2	4	3	4	3	5	5	5	5	3	4	OO-25	3	3	6	2	4	5	4	3	4	2
ENSG00000011422.11	PLAUR	protein_coding	chr19	43646095	43670547	-	1	1	1	1	1	2	1	1	5	1	1	1	1	OO-5	1	1	1	1	1	1	1	1	4	1	OO-8	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	2	1	1	4	0	3	1	1	0	1	2
